MasterID,7et Problem,4c pickup,6et pickup,6e pickup,6eStar pickup,NEW
05085,04.07.18b,04.06.13b, , , ,
82972,04.07.19,..,..,..,..,new
82973,04.07.20,..,..,..,..,new
83032,04.07.21,..,..,..,..,new
82974,04.07.22,..,..,..,..,new
02551,04.07.23,..,04.07.21, , ,
02552,04.07.24,04.06.20, , , ,
02553,04.07.25,04.06.17, , , ,
82975,04.07.26,..,..,..,..,new
02555,04.07.27,04.06.21, , , ,
02556,04.07.28,..,04.07.26, , ,
02557,04.07.29,04.06.19, , , ,
02558,04.07.30,04.06.24, , , ,
02560,04.07.31,..,04.07.29, , ,
02561,04.07.32,04.06.23, , , ,
02562,04.07.33,..,04.07.31, , ,
02563,04.07.34,..,04.07.32, , ,
02564,04.07.35a,04.06.25a, , , ,
05086,04.07.35b,04.06.25b, , , ,
02565,04.07.36,..,04.07.34, , ,
02566,04.07.37,04.06.22, , , ,
02567,04.07.38,04.06.26, , , ,
02568,04.07.39,04.06.27, , , ,
02569,04.07.40,04.06.28, , , ,
02570,04.07.41,04.06.29, , , ,
80367,04.07.42,..,04.07.40, , ,
30196,04.07.43,04.06.31, , , ,
02571,04.07.44a,04.06.32a, , , ,
05087,04.07.44b,04.06.32b, , , ,
02572,04.07.45a,04.06.33a, , , ,
05088,04.07.45b,04.06.33b, , , ,
05089,04.07.45c,04.06.33c, , , ,
02573,04.07.46,04.06.34, , , ,
02574,04.07.47,..,04.07.45, , ,
02575,04.07.48,04.06.38, , , ,
80368,04.07.49,04.06.35, , , ,
80369,04.07.50,04.06.36, , , ,
02576,04.07.51,04.06.37, , , ,
02577,04.07.52,04.06.39, , , ,
02578,04.07.53,04.06.49, , , ,
02579,04.07.54,04.06.40, , , ,
82019,04.07.55,04.06.41, , , ,
